Country,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Argentina,395.6460665,378.2026658,336.9994337,366.7802111,399.8988992,435.2965897,470.3255658,512.6908507,533.4919137,501.917061,552.7381618,585.924294,579.9102472,593.8589663,578.9375749,594.7492854,582.3765504,598.7908508,583.1181203,571.4507372,514.6300467,568.1425628
Austria,311.192381,315.1357119,320.3403481,323.3562593,332.2004418,339.6552367,351.3870707,364.4847261,369.8077473,355.8860456,362.4240056,373.0169246,375.5551018,375.650886,378.1349633,381.9711485,389.5702245,398.3689502,408.0309324,414.2223472,387.4885675,405.1458438
Belgium,365.7112038,369.7326333,376.0435426,379.946809,393.5154859,402.6518808,412.9289658,428.1118731,430.0252281,421.3355231,433.4038058,440.7478935,444.0059781,446.0450409,453.0860097,462.3355748,468.1919167,475.7746607,484.3050396,495.157629,468.610314,497.3542426
Australia,873.3042568,891.1320413,926.7202002,955.5541559,995.8463703,1027.252902,1055.406162,1095.278529,1134.361024,1155.579099,1181.077718,1209.321835,1256.509668,1288.911965,1322.153225,1350.615692,1387.494901,1419.160083,1460.075109,1491.779125,1491.020028,1524.362403
Brazil,1186.420527,1202.910543,1239.640958,1253.783142,1326.000607,1368.460898,1422.679164,1509.033948,1585.907087,1583.911826,1703.152285,1770.842762,1804.863768,1859.096724,1868.465748,1802.214374,1743.175328,1766.235255,1797.739007,1819.685406,1749.105698,1829.904265
Canada,1163.709866,1184.539957,1220.289972,1242.273717,1280.622468,1321.656178,1356.472618,1384.543596,1398.494572,1357.541054,1399.482212,1443.522257,1468.960332,1503.174218,1546.31586,1556.508816,1572.095609,1619.885432,1664.870307,1696.163077,1607.402451,1680.392785
China,2770.108016,3001.016837,3275.118635,3603.876042,3968.35842,4420.536663,4982.871172,5691.976639,6241.291029,6827.892849,7554.098728,8275.578021,8926.347666,9619.581224,10333.90859,11061.55308,11819.13255,12640.23142,13493.41845,14296.34442,14616.53991,15801.91098
Colombia,157.0111388,159.6456261,163.6431214,170.0551038,179.12418,187.7736588,200.3861689,213.8885791,220.9114955,223.4291103,233.4714869,249.6928336,259.4624047,272.7831877,285.0557852,293.4817531,299.6078398,303.6805916,311.4679467,321.3939798,298.7416461,330.6383307
Ecuador,53.37922143,55.52273341,57.79737579,59.37112744,64.24610313,67.6455625,70.62435273,72.17107123,76.75908048,77.19391422,79.91523025,86.20307318,91.06661787,95.57123839,99.19230698,99.290381,98.07269967,100.3954403,101.6898306,101.7021402,93.78197716,97.75387951
"Egypt, Arab Rep.",179.6831723,186.0354252,190.4820514,196.5650095,204.6085905,213.7581638,228.3874266,244.5751333,262.0776234,274.3260827,288.4462904,293.5361327,300.0708335,306.6287797,315.5698047,329.3665768,343.6829676,358.053112,377.0804877,398.0374292,412.2460499,425.9604127
Finland,196.0975273,201.2157103,204.6507622,208.7515218,217.0850732,223.1197138,232.1056587,244.4057186,246.3218473,226.4327193,233.6467721,239.5993087,236.2507988,234.1205341,233.2662092,234.5343824,241.1282175,248.8260179,251.6619329,254.7441597,249.1266959,256.533804
France,2046.499571,2087.096422,2110.796059,2128.171303,2188.393293,2224.791088,2279.283421,2334.550032,2340.501873,2273.251909,2317.567537,2368.384855,2375.801091,2389.493466,2412.341398,2439.188643,2465.909086,2522.41342,2569.458097,2616.812486,2413.104454,2577.595871
Germany,2835.48114,2883.158862,2877.450961,2857.305447,2890.881304,2912.03409,3023.170179,3113.153483,3143.035994,2964.076669,3087.971591,3209.180426,3222.610769,3236.712633,3308.229205,3357.585719,3432.459876,3524.457734,3559.040863,3596.645827,3463.68543,3554.676006
Hungary,91.56888654,95.29948359,99.81790518,103.8847359,109.0837729,113.768133,118.2574996,118.5855137,119.7760447,111.8733803,113.0774221,115.1883938,113.7482785,115.7986163,120.6994567,125.174167,127.9292528,133.3943598,140.5474086,147.3749098,140.6733839,150.6855522
Indonesia,395.0123837,409.4045274,427.8255833,448.2772254,470.8294875,497.6317918,525.0062768,558.3180417,591.8936339,619.2916277,657.8354356,698.4224624,740.5376907,781.6913229,820.8280155,860.8542351,904.1816243,950.0216968,999.1785891,1049.330237,1027.661516,1065.59497
India,800.5342718,839.151775,871.0729014,939.5425544,1013.981915,1094.324069,1182.534606,1273.126395,1312.423963,1415.605276,1535.897533,1616.398761,1704.595761,1813.45306,1947.834059,2103.587814,2277.26645,2432.015437,2588.974098,2685.74784,2508.59375,2726.370511
"Iran, Islamic Rep.",257.4392778,263.5976699,284.8932756,309.5060558,322.9282997,333.2290798,349.8898515,378.4260754,379.375382,383.1971544,405.414689,416.1408181,400.5473084,394.4510616,414.1135598,408.2129181,444.1972405,456.4504446,446.1626742,434.3027483,448.7662826,469.9470536
Italy,1842.12869,1878.075466,1882.844707,1885.454836,1912.296061,1927.935754,1962.458137,1991.641322,1972.481477,1868.315968,1900.325748,1913.767386,1856.719783,1822.536357,1822.453476,1836.637711,1860.393935,1891.422684,1908.933682,1918.157617,1744.757062,1862.306181
Japan,3986.755544,4002.148544,4003.827946,4065.29173,4154.16371,4229.100705,4287.138774,4350.758602,4297.492743,4052.826324,4218.90782,4219.912322,4277.925609,4363.702303,4376.62783,4444.930652,4478.437728,4553.466417,4580.061761,4569.053544,4363.130662,4435.43084
Malaysia,148.2711077,149.0386706,157.073328,166.1655164,177.4372507,186.8984519,197.3364446,209.7662448,219.901667,216.5733922,232.653636,244.9701167,258.3784438,270.506011,286.754555,301.3547561,314.764384,333.0607639,349.1911864,364.6016576,344.4229385,355.0730456
Mexico,876.4375265,872.8932996,872.5454998,885.1658468,919.8695777,941.0983928,983.4014986,1005.93561,1017.439335,963.6600947,1012.981357,1050.086944,1088.334499,1103.071549,1134.506587,1171.867608,1202.693966,1228.108442,1255.065358,1252.567178,1152.51321,1206.918349
Morocco,48.39622026,51.93880783,53.56005157,56.75285309,59.47529788,61.43301038,66.08633463,68.42023576,72.47295632,75.5485327,78.4312516,82.54551765,85.03010575,88.88658175,105.8170568,110.4143666,110.9898303,116.6035829,120.1782305,123.6525528,114.7655455,123.8660721
Pakistan,146.4875727,151.6943537,155.4993604,164.4826113,176.8958837,188.4273338,199.5426329,209.1861637,212.7452685,218.769488,222.2844325,228.393711,236.4035548,246.7969346,258.3339706,270.5561317,285.5090544,298.1646027,316.5068024,324.4119932,320.2787007,341.0554579
Philippines,142.7961408,147.1503257,152.6188071,160.3823902,170.9182759,179.3659204,188.9017604,201.2168169,209.9586559,212.9995356,228.6219864,237.442755,253.8190671,270.9532027,288.1532781,306.4461406,328.3553749,351.1136476,373.3794689,396.2247875,358.5109444,378.9573828
Poland,280.9759915,284.5122695,290.3045497,300.4605385,315.4320202,326.4936994,346.5114737,370.9805014,386.5616129,397.5097493,409.1752222,429.8066057,436.44807,440.1864969,457.0762701,477.111288,491.202812,516.4507229,547.1547951,571.5031171,559.9583499,598.3026927
Portugal,193.3989534,197.1579953,198.6779336,196.8291934,200.3499474,201.9163799,205.1975901,210.3410311,211.0125405,204.4245614,207.9766946,204.4490672,196.1539682,194.3441641,195.8837397,199.3940665,203.4208006,210.5534362,216.5527899,222.3623813,203.9051562,215.0840356
Romania,102.5015832,107.8502555,114.0009465,116.6698766,128.8363432,134.8506145,145.6775155,156.2155469,170.7552577,161.3340166,155.0399955,162.0432869,165.1626092,165.6084886,172.4326762,177.8824176,182.9654896,197.9622678,209.8974506,217.9851433,209.9687161,220.6773898
Russian Federation,780.4322334,820.2346771,858.7856405,921.476583,987.8224167,1051.04271,1137.22893,1233.893136,1298.0552,1196.806973,1250.663287,1304.442173,1356.93405,1380.753971,1390.92001,1363.481063,1366.121991,1391.06451,1430.115105,1461.550118,1422.617967,1490.186404
Serbia,24.00164505,25.65266415,27.2894081,28.48680102,31.05864551,32.77629642,34.45044085,36.6688858,38.74272273,37.68436763,37.95985715,38.73282487,38.46884426,39.58160818,38.95245443,39.65595884,40.97990744,41.84096244,43.72176445,45.61567538,45.20366616,48.61650342
Slovenia,32.3014485,33.34044408,34.50922604,35.53078895,37.07964454,38.48791929,40.69958789,43.54048455,45.06868656,41.66670479,42.2266005,42.59030992,41.46616477,41.03936068,42.17539537,43.10750602,44.48343404,46.62548071,48.70235015,50.38310685,48.20586643,52.1640803
Slovak Republic,48.03827784,49.60133963,51.83808433,54.68870365,57.57565508,61.38915629,66.60304584,73.81750695,77.93274907,73.68110233,78.62999138,80.73055447,81.79523083,82.31278198,84.53291395,88.90088313,90.62907261,93.29181701,97.05184081,99.49724938,96.13953385,99.03747057
South Africa,221.6919702,227.6776534,236.102579,243.0654223,254.1359825,267.5468704,282.5396792,297.6851454,307.1844091,302.459639,311.6536041,321.528524,329.2330946,337.4160778,342.1865556,346.7097905,349.0138584,353.0552537,358.4299176,359.5175848,336.7152857,353.2584332
"Korea, Rep.",798.7843426,837.5445506,902.2460621,930.642373,979.0114993,1021.192628,1074.951543,1137.293878,1171.560371,1180.847318,1261.20191,1307.685623,1339.103175,1381.481889,1425.723208,1465.773246,1508.967849,1556.645737,1601.903714,1637.850078,1626.230918,1693.643458
Spain,971.1122526,1009.306124,1036.869753,1067.788549,1101.13274,1141.347034,1188.172917,1231.003443,1241.923269,1195.188367,1197.135562,1187.386272,1152.252437,1136.082396,1151.939554,1196.156971,1232.493518,1269.169577,1298.163367,1323.91849,1173.978918,1238.777799
Turkiye,413.8268593,390.0317877,415.1799533,439.1076296,482.1223336,525.476244,561.9862709,590.330093,595.1414283,566.436841,614.1710645,682.9589029,715.6623402,776.3921367,814.7436968,864.3166703,893.0386411,960.0343775,988.6423004,996.3894023,1015.719678,1131.039375
Sweden,364.7958581,370.0835691,378.2140129,386.9500403,403.7315069,415.2733963,434.6366544,449.5847728,447.559127,428.1359982,453.619111,468.1137532,465.3598186,470.8872495,483.4024827,505.1037813,515.5624256,528.8016796,539.1134332,549.8212819,537.888988,565.1873099
Thailand,221.4547251,229.0821773,243.168523,260.6504997,277.0437014,288.6452899,302.9846421,319.452317,324.9651019,322.7208337,346.9681103,349.8831007,375.2244206,385.3085603,389.1018031,401.2964374,415.081603,432.4223884,450.6830249,460.3801738,431.85737,438.4813521
United Kingdom,2307.855285,2357.645605,2399.393976,2474.328329,2532.350622,2599.922288,2656.091147,2724.178994,2719.974378,2597.290325,2660.406374,2688.809162,2727.7554,2777.396822,2866.265261,2934.857946,2998.403673,3071.671779,3124.044429,3174.163744,2824.026234,3036.531677
United States,13754.30044,13885.56306,14121.05428,14515.90849,15075.1415,15600.24189,16034.36708,16356.73924,16376.72529,15950.94871,16383.03706,16636.95692,17016.39393,17329.81471,17726.28204,18206.02074,18509.60105,18924.57173,19481.97319,19928.9752,19377.38052,20529.45973
Ukraine,69.83636246,75.98196235,80.03913108,87.65614293,97.995494,101.0051614,108.6526872,117.5794229,120.2173074,102.0206532,106.1953428,111.9779775,112.1485367,112.199496,100.8910266,91.03095945,93.25300874,95.4537539,98.7835267,101.9441095,98.11834673,101.4543705
Uzbekistan,31.47265246,32.7831228,34.08575631,35.52847937,38.17499601,40.82816098,43.87043811,48.02628704,52.36265783,56.5783405,60.87669206,65.4577483,70.10684879,75.22223033,80.39288491,86.19626519,91.30955763,95.32286345,100.4273998,106.161435,108.1639,116.1897807
