Algeria,Argentina,Austria,Bahamas,Bangladesh,Belgium,Belize,Benin,Bermuda,Bolivia,Botswana,Brazil,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Congo,Congo2,Costa Rica,Cote dIvoire,Denmark,Dominican Republic,Ecuador,Egypt,Fiji,Finland,France,Gabon,Ghana,Greece,Guatemala,Guyana,Haiti,Honduras,India,Indonesia,Iran,Italy,Japan,Kenya,Korea Rep,Lesotho,Luxembourg,Madagascar,Malawi,Malaysia,Mexico,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Portugal,Puerto Rico,Rwanda,Senegal,Seychelles,Sierra Leone,Singapore,South Africa,Spain,St Vincent,Sudan,Suriname,Sweden,Thailand,Togo,Trinidad and Tobago,Turkiye,United Kingdom,United States,Uruguay,Zambia,Zimbabwe,Australia
0.467512119,0.65840419,0.659507439,0.710948905,0.664722795,0.653890901,0.653028361,0.635466652,0.650902101,0.624915585,0.667581211,0.690217864,0.644523319,0.466097955,0.615838859,0.653650192,0.617985179,0.656568786,0.330458572,0.655004179,0.495133448,0.68772051,0.622809383,0.703587229,0.667942274,0.580765588,0.655355213,0.655726305,0.639247785,0.68023848,0.65391096,0.752069984,0.638365186,0.736393826,0.647080849,0.651002396,0.574557308,0.622578704,0.641303839,0.661543433,0.708180754,0.686276258,0.72475957,0.525984287,0.673528723,0.62266897,0.642376999,0.624514404,0.680589514,0.680168273,0.654111551,0.62310024,0.606932635,0.67916532,0.649558143,0.605889564,0.666879144,0.664010698,0.713556583,0.665956427,0.67316766,0.677650861,0.661082075,0.65947735,0.674591854,0.560856968,0.633982281,0.554999721,0.622107316,0.68558422,0.642527442,0.722703516,0.649367582,0.604184543,0.652105644,0.660941662,0.657742241,0.726013261,0.744748426,0.615558032,0.630812949,0.627031816,0.628967515,0.617614086,0.667310414,0.62886722
0.406532568,0.595418733,0.630532122,0.708792556,0.658654928,0.656237811,0.653038391,0.569602719,0.648795899,0.659918649,0.67083078,0.670158801,0.665434892,0.694861537,0.634473728,0.566714214,0.657722182,0.644352817,0.547999108,0.658243718,0.816599989,0.656137516,0.658544604,0.616270129,0.660801248,0.774937315,0.653299159,0.642838357,0.640130384,0.633871956,0.672595977,0.678673873,0.645175238,0.607624673,0.639438346,0.615046526,0.683076837,0.661784142,0.63336045,0.622438291,0.683287458,0.666187106,0.693316989,0.698813172,0.643028918,0.757736669,0.617594027,0.626740959,0.610663621,0.668363515,0.650741628,0.623120299,0.672606007,0.71319552,0.707057447,0.645115061,0.632186995,0.648926283,0.68665738,0.667892127,0.637061347,0.704610241,0.652567003,0.670299214,0.687439684,0.717638603,0.602599877,0.688302223,0.649507996,0.679716944,0.665926339,0.70378782,0.641012983,0.673328133,0.643079066,0.646679668,0.679726974,0.641815345,0.631464869,0.659838413,0.615026467,0.665144035,0.588167382,0.578980331,0.618346242,0.616952137
0.948117234,0.550727141,0.645466095,0.709514682,0.599390427,0.647612414,0.653670251,0.651403577,0.614695492,0.672144648,0.663348749,0.609981613,0.591246448,0.645436006,0.64150443,0.596873015,0.587926673,0.662536357,0.707268067,0.636930963,0.65625787,0.563554912,0.673157631,0.749291804,0.610352705,0.669185936,0.625086087,0.709454505,0.667741684,0.636910904,0.666487992,0.665063799,0.648154009,0.722763693,0.699655653,0.480811278,0.584977991,0.639869616,0.664080905,0.581527832,0.674591854,0.660229565,0.688954143,0.69200312,0.694440296,0.710427369,0.638455452,0.594646459,0.590012816,0.677570625,0.685273305,0.622969856,0.640320945,0.712934752,0.698522316,0.690007244,0.64192567,0.691110492,0.689606062,0.644814175,0.651202987,0.647371706,0.674331086,0.662877361,0.69072937,0.505473895,0.62265894,0.705623224,0.621014097,0.704660389,0.677921658,0.700207277,0.541128879,0.575409818,0.66012927,0.657401237,0.684200145,0.654111551,0.660179417,0.694891625,0.65284783,0.648093832,0.605668914,0.63678052,0.666588288,0.666307461
0.662526328,0.705563047,0.665384744,0.709294032,0.713817351,0.673739344,0.654111551,0.670670307,0.715391988,0.643650749,0.672485652,0.6380643,0.626861314,0.666879144,0.639538642,0.624825319,0.57877974,0.629609405,0.786300775,0.665816014,0.579491837,0.642246615,0.640661949,0.78061403,0.69693765,0.671813674,0.678252633,0.719383741,0.652877918,0.656508609,0.670680337,0.64963838,0.626119129,0.698341784,0.650430713,0.71789937,0.587445255,0.658293865,0.678713991,0.63936814,0.688964172,0.632026523,0.721078732,0.653750488,0.698983674,0.686717557,0.682856188,0.643710927,0.630652477,0.657712152,0.723365465,0.679506324,0.686958266,0.721289352,0.605277762,0.653610074,0.654211846,0.679887446,0.648414777,0.689916978,0.64620828,0.669637265,0.63808436,0.667260266,0.674782415,0.478945785,0.642918594,0.66332869,0.671011311,0.572842258,0.683598373,0.657210676,0.640772274,0.592730819,0.669155848,0.672375327,0.672475623,0.747245779,0.680489218,0.658715106,0.65946732,0.662135176,0.62844598,0.72646459,0.592871232,0.673970023
0.666217195,0.709966011,0.638866663,0.708531788,0.620071321,0.639679055,0.653419513,0.657060233,0.651704463,0.653238981,0.662275589,0.628034769,0.641725079,0.643751045,0.624283724,0.613471889,0.61004179,0.613491949,0.773964451,0.640070207,0.613963336,0.640832451,0.686115785,0.572772051,0.649648409,0.478775283,0.636810609,0.653249011,0.576884159,0.657150499,0.652727475,0.687539979,0.617694322,0.711961888,0.64771271,0.709685184,0.625647741,0.694600769,0.577526049,0.614815847,0.774826991,0.636740402,0.662335766,0.624113222,0.677360004,0.625567504,0.596592188,0.599430545,0.740525993,0.681040842,0.675173567,0.591898367,0.690649134,0.69949518,0.673368251,0.652958155,0.656979997,0.708461581,0.695834401,0.706957152,0.665826043,0.660349919,0.657571739,0.678874464,0.69628573,0.674270909,0.61732323,0.593322561,0.675975929,0.682535243,0.665374714,0.666678554,0.612840029,0.671934028,0.72431827,0.642296763,0.68602552,0.759020449,0.610924388,0.63228729,0.62544715,0.668152895,0.614454784,0.770925503,0.653218922,0.663940491
0.555771995,0.597344403,0.660560539,0.694951803,0.629709701,0.635617095,0.651814788,0.639829498,0.748028083,0.675885663,0.667591241,0.671161754,0.609359782,0.650230122,0.650250181,0.610432941,0.58584053,0.716655708,0.710778403,0.65648855,0.671913969,0.617594027,0.673859698,0.720075779,0.631454839,0.738991475,0.600553853,0.654572909,0.603963894,0.627763972,0.656638993,0.649177021,0.561258149,0.6691057,0.659246671,0.656448431,0.598186884,0.657862595,0.603412269,0.631956316,0.719323564,0.663990639,0.710668078,0.751688862,0.724258093,0.599891904,0.615056555,0.624674876,0.736845155,0.682364741,0.665103917,0.674581824,0.631454839,0.637071377,0.600132613,0.561328356,0.641945729,0.66203488,0.679997771,0.662275589,0.62394272,0.686597203,0.648505043,0.644864323,0.67917535,0.674260879,0.632818856,0.743344292,0.621014097,0.706064523,0.648474954,0.676637878,0.603963894,0.568108319,0.796530897,0.624935644,0.715522371,0.698331755,0.644653703,0.716425029,0.619740347,0.669155848,0.634684348,0.548099404,0.61923887,0.627824149
0.698773054,0.635978158,0.634132724,0.700227336,0.585148493,0.642758121,0.653238981,0.614775729,0.737105923,0.667320444,0.663388867,0.646087926,0.692454449,0.742592077,0.494521647,0.650872012,0.611656544,0.640230679,0.546093498,0.645436006,0.594074776,0.625186382,0.660630746,0.650079679,0.659427202,0.637342174,0.650310358,0.612037666,0.737878197,0.625717947,0.653319218,0.645235415,0.634804703,0.660821307,0.645205327,0.647231292,0.582721346,0.663920432,0.682455006,0.617804647,0.716826211,0.6759659,0.715111161,0.637673149,0.695032039,0.71340614,0.606140302,0.659417173,0.676998941,0.642647796,0.6626868,0.5882075,0.656919819,0.673869728,0.605197526,0.446058951,0.666708642,0.658133393,0.689746476,0.644784086,0.695734106,0.642607678,0.656348136,0.679626679,0.666377668,0.673328133,0.591727865,0.609028807,0.604324957,0.729423302,0.676146431,0.64749206,0.508442637,0.618245946,0.725321224,0.637713267,0.690378336,0.659126316,0.624454226,0.651433666,0.631906168,0.629037722,0.567285897,0.683397782,0.687880983,0.667200089
0.712242715,0.652336324,0.648815958,0.688432607,0.699134117,0.646027748,0.677851451,0.642497353,0.625076057,0.689505767,0.709945952,0.702253301,0.634764585,0.600975093,0.6676113,0.618045356,0.599380398,0.63998997,0.562842815,0.663469103,0.647421853,0.680499248,0.688944113,0.729814454,0.659657882,0.606360952,0.623110269,0.587846437,0.683357664,0.627061904,0.649006519,0.629127988,0.607664791,0.676216638,0.691882766,0.614244163,0.635877863,0.670138742,0.637943946,0.713436229,0.748429264,0.669607177,0.733164317,0.684029643,0.736012704,0.600283056,0.645927453,0.672455564,0.584677105,0.683979495,0.698472168,0.610733827,0.668313367,0.617433554,0.607805204,0.591447039,0.626630635,0.676507494,0.673939934,0.647692651,0.649367582,0.605488382,0.654492673,0.692986014,0.655916866,0.674311027,0.667059676,0.679716944,0.624223547,0.739633365,0.645616538,0.670128712,0.669256143,0.623651864,0.680188332,0.640461358,0.685423748,0.654352259,0.6562679,0.671944058,0.658534574,0.652105644,0.622909678,0.616480749,0.623722071,0.655054327
0.688542932,0.701049758,0.666909233,0.694049145,0.616209952,0.670459687,0.655174681,0.632818856,0.638425364,0.648836017,0.755640497,0.699244442,0.624283724,0.589320778,0.653118627,0.67509333,0.672977099,0.643460188,0.773864156,0.665174124,0.697529392,0.679676826,0.65904608,0.699635594,0.669246114,0.71319552,0.650791776,0.656919819,0.630000557,0.700177188,0.675263832,0.685032596,0.664201259,0.719945395,0.651473784,0.674110436,0.642196467,0.610533237,0.669557029,0.672385357,0.759592132,0.665123976,0.729112386,0.683788934,0.7500039,0.619489608,0.70398841,0.64128378,0.662957597,0.652998273,0.638254862,0.648725692,0.668443751,0.666528111,0.548941884,0.846648465,0.649146933,0.659206553,0.688623168,0.686938207,0.651112721,0.639207667,0.650992366,0.62523653,0.697990751,0.714358946,0.538230345,0.603963894,0.689465649,0.742712431,0.651263164,0.69329693,0.632658383,0.617894913,0.649096785,0.654201816,0.669667354,0.712593748,0.631354544,0.644894411,0.623260712,0.635055441,0.662787095,0.599580988,0.72861091,0.674631972
0.69285563,0.634513846,0.667360562,0.547297041,0.66032986,0.659958767,0.652185881,0.625005851,0.667270296,0.656428372,0.775669471,0.70827102,0.605137349,0.81785368,0.634975205,0.62736279,0.622618822,0.622307907,0.79753385,0.666227225,0.601506658,0.667731654,0.679215468,0.708020282,0.619981055,0.786772162,0.672886833,0.66011924,0.731369031,0.652246058,0.665234301,0.691010197,0.701481027,0.68986683,0.661212459,0.64663955,0.610493119,0.640341004,0.655686187,0.679737003,0.713566613,0.656809495,0.628586393,0.557276425,0.704790773,0.625798184,0.715231515,0.656879701,0.608768039,0.664010698,0.669175907,0.629799967,0.665545216,0.617543879,0.634614142,0.854772385,0.623451273,0.717829164,0.673759403,0.712714103,0.659657882,0.637723296,0.640992924,0.730466373,0.688191898,0.664151112,0.689836742,0.692945896,0.690418454,0.74379562,0.656608904,0.646980554,0.711741238,0.663388867,0.631043628,0.677069148,0.718380788,0.629278431,0.639408258,0.636399398,0.672575918,0.601125536,0.62736279,0.652075556,0.83028027,0.675935811
0.490309244,0.660710982,0.655264947,0.620281941,0.549012091,0.643941606,0.643670808,0.588949685,0.638445423,0.654743411,0.862936424,0.717728868,0.618135622,0.631515016,0.638866663,0.615297264,0.581417507,0.698472168,0.674772385,0.66374993,0.66419123,0.681722851,0.671954087,0.698813172,0.634102636,0.71299493,0.667079735,0.644653703,0.673057335,0.627603499,0.657290912,0.706856856,0.656277929,0.682605449,0.659968797,0.635185825,0.668955257,0.644031872,0.620442414,0.674411322,0.741388533,0.622197582,0.651092662,0.826358723,0.709735332,0.655254917,0.630712654,0.643369923,0.766632863,0.704610241,0.641694991,0.591978604,0.647261381,0.637111495,0.660921602,0.746764362,0.660851396,0.608657714,0.700407868,0.667099794,0.659507439,0.650009472,0.658013038,0.670479746,0.667801861,0.616069538,0.602559759,0.762952025,0.63872625,0.728460467,0.646880259,0.650591185,0.633731543,0.626500251,0.643079066,0.613441801,0.65305845,0.603963894,0.614394606,0.659798295,0.639117401,0.636991141,0.601436452,0.603101354,0.693407255,0.644092049
0.879013763,0.620291971,0.666227225,0.568890622,0.463811222,0.657080292,0.706445646,0.668413662,0.622147434,0.68386917,0.8683624,0.723716499,0.627142141,0.539734775,0.630782861,0.603953864,0.615497855,0.593733772,0.642176408,0.68088037,0.605478353,0.690398395,0.685985401,0.646459018,0.643369923,0.708210843,0.654292082,0.634614142,0.679034936,0.681542319,0.64920711,0.717668691,0.57901042,0.705863933,0.677510447,0.570685909,0.613762746,0.661754054,0.598417563,0.674551736,0.749382069,0.640972865,0.688352371,0.775288349,0.676316933,0.601927899,0.670138742,0.5911963,0.666457904,0.698121134,0.686496908,0.635235973,0.639408258,0.626239483,0.552151334,0.637703237,0.657431326,0.612117903,0.649929236,0.660570569,0.670469716,0.638846604,0.658424249,0.684360617,0.675915752,0.60660166,0.667982393,0.667230178,0.612990472,0.737517134,0.620562768,0.685704575,0.863036719,0.55310414,0.597946175,0.626921491,0.646880259,0.680439071,0.661934585,0.678443194,0.647311528,0.656709199,0.590724912,0.696325848,0.68750989,0.643179361
0.642206497,0.632166936,0.653008302,0.679867387,0.637322115,0.667972363,0.657641946,0.641133337,0.618847718,0.661523374,0.817623001,0.744066418,0.608467153,0.673057335,0.657682064,0.622909678,0.519906391,0.55352538,0.681793057,0.671392433,0.685574191,0.686516967,0.681281551,0.663529281,0.645014766,0.733304731,0.743885886,0.63913746,0.720436842,0.674010141,0.66760127,0.706084582,0.632899092,0.685122862,0.671994205,0.61645066,0.651654315,0.682896306,0.637021229,0.685243216,0.678603666,0.675434334,0.684531119,0.66310804,0.753383852,0.86879367,0.687339388,0.57770658,0.627041845,0.721319441,0.68280604,0.599179807,0.658564663,0.668323397,0.432980442,0.658053157,0.64942776,0.674812503,0.6577623,0.669446704,0.677209561,0.666919262,0.692043238,0.716304675,0.66760127,0.638445423,0.54796902,0.694771271,0.626600546,0.710307015,0.649818911,0.682073884,0.492626066,0.610302558,0.585910737,0.643761074,0.706626177,0.642447206,0.620572798,0.636680225,0.669396557,0.660590628,0.606722015,0.594315484,0.630090823,0.630231236
0.679135232,0.65946732,0.643500306,0.435929125,0.700167159,0.649748705,0.739964339,0.637452499,0.612759793,0.633450716,0.692203711,0.685744693,0.687068591,0.596672424,0.711620884,0.667541093,0.653730428,0.627854237,0.627132111,0.661593581,0.635366356,0.683056778,0.659577645,0.647361676,0.592710759,0.664161141,0.716384911,0.619599933,0.630050705,0.636429487,0.647100908,1,0.672696272,0.539393771,0.667902156,0.681221374,0.661934585,0.591647629,0.615848888,0.676517524,0.662145205,0.659126316,0.591677718,0.644743968,0.699364796,0.714088148,0.64620828,0.624093163,0.675935811,0.687399565,0.661904497,0.667490946,0.638455452,0.746303003,0.691973032,0.715903494,0.643309745,0.639468435,0.628516187,0.630151,0.688031426,0.698111105,0.638014153,0.615427648,0.633220037,0.618105533,0.646097955,0.617032373,0.639067254,0.665314537,0.66525436,0.660319831,0.515493397,0.718751881,0.607975706,0.636038335,0.648755781,0.652436619,0.642156349,0.660069092,0.579050538,0.598537917,0.632999387,0.668433722,0.670409539,0.645155179
0.65456288,0.603683067,0.600313144,0.45549674,0.562963169,0.584245835,0.64,0.554869337,0.641755168,0.677289798,0.688673316,0.655786482,0.634032429,0.610964507,0.716745974,0.608025854,0.694329972,0.474462584,0.691421407,0.627262495,0.553996768,0.68151223,0.62502591,0.686737616,0.589350866,0.65604725,0.714007912,0.693617875,0.609279545,0.622067198,0.594335544,0.796430601,0.479276759,0.66782192,0.62352148,0.689044409,0.615227057,0.625336825,0.695734106,0.660199476,0.600694266,0.583002173,0.634975205,0.61280994,0.68259542,0.468434836,0.538059843,0.616591074,0.665013651,0.611997548,0.661573522,0.618566891,0.603983953,0.602429375,0.575951412,0.551529504,0.653630133,0.64619825,0.621425308,0.595137906,0.672686243,0.647100908,0.658634869,0.560355491,0.597394551,0.582761464,0.679546442,0.635827715,0.620703182,0.643971694,0.620963949,0.6093999,0.527649189,0.761557921,0.632046582,0.629569287,0.653810665,0.62844598,0.618787541,0.675915752,0.589180364,0.60190784,0.665113947,0.581206887,0.584596869,0.617363348
0.688081574,0.583724299,0.649879088,0.655967014,0.660741071,0.660660835,0.60362289,0.612829999,0.693617875,0.650250181,0.710748314,0.706836797,0.689565944,0.683628462,0.548851619,0.658454338,0.633861927,0.642407088,0.588217529,0.651383518,0.550717111,0.613150944,0.659306848,0.733505321,0.663388867,0.671442581,0.678152337,0.737156071,0.631404692,0.607414052,0.647662562,0.96126595,0.568559648,0.672686243,0.678052042,0.619379283,0.688603109,0.709284003,0.620643004,0.674972976,0.787103137,0.675424305,0.643831281,0.625567504,0.736564328,0.714780186,0.629378726,0.573183262,0.654091492,0.719935365,0.648264334,0.648083802,0.648655486,0.656207723,0.610763916,0.694650917,0.662385914,0.655676158,0.620653034,0.569983841,0.679446147,0.618476626,0.69200312,0.67316766,0.666578258,0.799589904,0.693437343,0.767224606,0.599460634,0.678553519,0.626530339,0.637101465,0.708040341,0.771106034,0.69222377,0.614575138,0.697509333,0.583383295,0.668203042,0.708882822,0.63314983,0.658003009,0.6434301,0.666357609,0.608627626,0.62993035
0.656709199,0.673508664,0.654913913,0.695784254,0.630772831,0.61024238,0.669125759,0.653951078,0.66310804,0.653820694,0.724438625,0.653449602,0.60767482,0.718992589,0.741769655,0.64213629,0.626379896,0.708722349,0.679887446,0.645676715,0.611596367,0.514169499,0.693266841,0.677319886,0.622719117,0.653931019,0.620061292,0.694259765,0.663178247,0.606370981,0.63870619,0.47777233,0.626771048,0.633460746,0.682284504,0.57749596,0.641153396,0.708110548,0.676728144,0.686847941,0.576141974,0.629649524,0.647993537,0.698783084,0.727688193,0.822697944,0.619710258,0.627673706,0.653289129,0.681722851,0.637974035,0.63422299,0.629238313,0.687891012,0.681843205,0.664381791,0.645696774,0.643560484,0.614936201,0.612338552,0.719243328,0.6074642,0.659758177,0.660159358,0.663649635,0.623962779,0.577054661,0.541881094,0.604435282,0.672686243,0.603021118,0.632437733,0.736644565,0.666387697,0.706265114,0.587956762,0.702684571,0.673759403,0.695453279,0.638134507,0.628616482,0.650340447,0.618556862,0.558189112,0.535151279,0.640020059
